CL State,CL Region,CL District,Housing Category,Title,URL,Date Posted,Time Posted,Price,Location,Bedrooms,Area,Price_Area,Num Time,Title Key
Illinois,chicago,chicago,roo,"Top floor corner 2nd bedroom for rent - Walk to NEIU, Brown Line",https://chicago.craigslist.org/chc/roo/d/chicago-top-floor-corner-2nd-bedroom/6981594423.html,2019-09-18,16:04,575.0,albany park,None,None,,,
Illinois,chicago,chicago,roo,Roommate wanted to share Uptown 2 flat,https://chicago.craigslist.org/chc/roo/d/chicago-roommate-wanted-to-share-uptown/6981308221.html,2019-09-18,10:49,600.0,chicago,None,None,,,
Illinois,chicago,chicago,roo,Furnished room near CHICAGO 'Little India' Devon ave Indian area,https://chicago.craigslist.org/chc/roo/d/chicago-furnished-room-near-chicago/6980126498.html,2019-09-16,16:28,450.0,chicago: little india devon ave and western,None,None,,,
Illinois,chicago,chicago,roo,Subleting a room,https://chicago.craigslist.org/chc/roo/d/chicago-subleting-room/6980063232.html,2019-09-16,15:14,550.0,montrose and st. louis ave,None,None,,,
Illinois,chicago,chicago,roo,Studio for Rent (for one person),https://chicago.craigslist.org/nch/roo/d/studio-for-rent-for-one-person/6980020094.html,2019-09-16,14:26,500.0,6011 n. ridge,None,None,,,
Illinois,chicago,chicago,roo,Room for Rent in Avondale,https://chicago.craigslist.org/chc/roo/d/chicago-room-for-rent-in-avondale/6971640508.html,2019-09-16,11:35,500.0,none,None,None,,,
Illinois,chicago,chicago,roo,"Bedroom Open for 3 Bedroom , 2 Full Bath",https://chicago.craigslist.org/chc/roo/d/chicago-bedroom-open-for-3-bedroom-2/6979751341.html,2019-09-16,09:46,600.0,albany park,None,None,,,
Illinois,chicago,chicago,roo,Bedroom to rent out in basement apartment!,https://chicago.craigslist.org/chc/roo/d/chicago-bedroom-to-rent-out-in-basement/6979565050.html,2019-09-15,22:14,450.0,avondale,None,None,,,
Illinois,chicago,chicago,roo,Live in a turn of the century Victorian home,https://chicago.craigslist.org/chc/roo/d/chicago-live-in-turn-of-the-century/6959246084.html,2019-09-15,10:55,600.0,rogers park,None,154ft2,,,
Illinois,chicago,chicago,roo,Looking for an awesome roommate,https://chicago.craigslist.org/chc/roo/d/chicago-looking-for-an-awesome-roommate/6976573155.html,2019-09-15,00:26,465.0,lincoln square,None,None,,,
Illinois,chicago,chicago,roo,LARGE ROOM FOR RENT,https://chicago.craigslist.org/nch/roo/d/chicago-large-room-for-rent/6978844720.html,2019-09-14,17:15,395.0,chicago,None,None,,,
Illinois,chicago,chicago,roo,Roomate Wanted: Must love cats!,https://chicago.craigslist.org/chc/roo/d/chicago-roomate-wanted-must-love-cats/6978758757.html,2019-09-14,15:10,575.0,lincoln square,None,None,,,
Illinois,chicago,chicago,roo,Small bedroom for rent $350 ALL UTILITIES INCLUDED,https://chicago.craigslist.org/chc/roo/d/chicago-small-bedroom-for-rent-350-all/6978009090.html,2019-09-13,14:30,350.0,avondale-3800 block of sacramento,None,100ft2,,,
Illinois,chicago,chicago,roo,"Loyola University Student, Roomate $600",https://chicago.craigslist.org/chc/roo/d/chicago-loyola-university-student/6978004784.html,2019-09-13,14:27,600.0,edgewater  (north of chicago),None,96ft2,,,
Illinois,chicago,chicago,roo,One bedroom/full basement,https://racine.craigslist.org/roo/d/skokie-one-bedroom-full-basement/6977380905.html,2019-09-12,17:02,500.0,none,None,None,,,
Illinois,chicago,chicago,roo,Looking for a roommate in Rogers Park,https://chicago.craigslist.org/chc/roo/d/chicago-looking-for-roommate-in-rogers/6981656290.html,2019-09-20,19:25,450.0,rogers park,None,None,,,
Illinois,chicago,chicago,roo,"1 bed room,",https://chicago.craigslist.org/chc/roo/d/chicago-1-bed-room/6983084809.html,2019-09-20,18:21,600.0,north side,None,None,,,
Illinois,chicago,chicago,roo,Attention O’Hare employees * Large furnished bedroom-,https://chicago.craigslist.org/nch/roo/d/chicago-attention-ohare-employees-large/6978210217.html,2019-09-20,16:39,550.0,jefferson park,None,2000ft2,,,
Illinois,chicago,chicago,roo,"Room available Oct 1, all utilities + heat included! Pets ok, no lease",https://chicago.craigslist.org/chc/roo/d/chicago-room-available-oct-1-all/6970568237.html,2019-09-20,15:16,550.0,old irving park,None,None,,,
Illinois,chicago,chicago,roo,Roomies ? 1 Bedroom Avaial in Single Fam House  Avail 10/1,https://chicago.craigslist.org/chc/roo/d/chicago-roomies-1-bedroom-avaial-in/6972326308.html,2019-09-19,19:47,550.0,chicago rogers park,None,None,,,
Illinois,chicago,chicago,roo,Room available in Lux Condo Oct 1,https://chicago.craigslist.org/chc/roo/d/chicago-room-available-in-lux-condo-oct/6982313888.html,2019-09-19,16:30,600.0,none,None,1200ft2,,,
Illinois,chicago,chicago,roo,Room available in Lux Condo Sep 25th,https://chicago.craigslist.org/chc/roo/d/chicago-room-available-in-lux-condo-sep/6979629192.html,2019-09-19,16:17,600.0,none,None,1200ft2,,,
Illinois,chicago,chicago,roo,Room for rent near Loyola,https://chicago.craigslist.org/chc/roo/d/chicago-room-for-rent-near-loyola/6982219239.html,2019-09-19,14:11,600.0,rogers park,None,None,,,
Illinois,chicago,chicago,roo,Furnished room in downtown Evanston,https://chicago.craigslist.org/nch/roo/d/evanston-furnished-room-in-downtown/6976855665.html,2019-09-19,08:36,575.0,evanston,None,1000ft2,,,
Illinois,chicago,chicago,roo,Room for rent! females in a safe Neighborhood. Very clean and quiet,https://chicago.craigslist.org/chc/roo/d/chicago-room-for-rent-females-in-safe/6969330475.html,2019-09-18,21:59,500.0,devon and kildare,None,None,,,
Illinois,chicago,chicago,roo,Room for rent for females in safe neighborhood. Very clean and quiet!!,https://chicago.craigslist.org/nch/roo/d/chicago-room-for-rent-for-females-in/6969330606.html,2019-09-18,21:59,450.0,devon and kildare,None,None,,,
Illinois,chicago,chicago,roo,Looking for 3rd Roommate,https://chicago.craigslist.org/chc/roo/d/chicago-looking-for-3rd-roommate/6981675457.html,2019-09-18,17:52,540.0,uptown/buena park,None,1450ft2,,,
Illinois,chicago,chicago,roo,Beautiful bright furnished room available in Uptown,https://chicago.craigslist.org/chc/roo/d/chicago-beautiful-bright-furnished-room/6979319193.html,2019-09-18,16:57,430.0,none,None,1860ft2,,,
Illinois,chicago,chicago,roo,Private Room in Bright & Spacious apartment for Rent,https://chicago.craigslist.org/chc/roo/d/evanston-private-room-in-bright/6981557834.html,2019-09-18,16:29,400.0,"evanston, il",None,None,,,
Illinois,chicago,chicago,roo,"Top floor corner 2nd bedroom for rent - Walk to NEIU, Brown Line",https://chicago.craigslist.org/chc/roo/d/chicago-top-floor-corner-2nd-bedroom/6981594423.html,2019-09-18,16:04,575.0,albany park,None,None,,,
